"iso2c","year","federal"
"DE",1983,NA
"DE",1983,NA
"DE",1983,NA
"DE",1983,NA
"DE",1983,NA
"DE",1983,NA
"DE",1983,NA
"DE",1983,NA
"DE",1983,NA
"DE",1983,1
"DE",1983,1
"DE",1983,1
"DE",1983,1
"DE",1983,1
"DE",1983,1
"DE",1984,NA
"DE",1984,NA
"DE",1984,NA
"DE",1984,NA
"DE",1984,NA
"DE",1984,NA
"DE",1984,NA
"DE",1984,NA
"DE",1984,NA
"DE",1984,1
"DE",1984,1
"DE",1984,1
"DE",1984,1
"DE",1984,1
"DE",1984,1
"DE",1984,1
"DE",1984,1
"DE",1984,1
"DE",1985,1
"DE",1985,1
"DE",1985,1
"DE",1985,1
"DE",1985,1
"DE",1985,1
"DE",1985,NA
"DE",1985,NA
"DE",1985,NA
